Age,Gender,Department,YearsAtCompany,WorkHoursPerWeek,RemoteWork,BurnoutLevel,JobSatisfaction,StressLevel,ProductivityScore,SleepHours,PhysicalActivityHrs,CommuteTime,HasMentalHealthSupport,ManagerSupportScore,HasTherapyAccess,MentalHealthDaysOff,SalaryRange,WorkLifeBalanceScore,TeamSize,CareerGrowthScore,BurnoutRisk
33,0,5,3,50,0,1.75,7.35,7.05,5.84,6.2,6.5,85,0,4.08,0,9,2,9.95,5,3.67,0
43,0,1,14,59,1,1.92,2.37,8.52,3.41,7.3,7.6,0,1,4.58,0,7,0,9.31,29,9.4,0
46,0,0,15,59,1,5.23,4.54,2.66,3.58,5.1,8.6,30,1,4.36,0,7,1,1.02,45,2.97,0
48,3,2,20,56,1,5.77,1.51,6.52,1.41,7.6,7.3,21,1,4.7,1,0,0,5.96,24,1.63,0
49,3,2,12,41,1,3.38,4.89,1.47,3.57,4.4,9.2,97,1,7.39,1,8,4,8.85,39,9.43,0
37,0,4,8,55,0,6.79,8.0,1.92,1.57,6.3,5.2,75,1,3.21,0,7,4,4.87,21,2.49,0
36,2,3,10,30,2,7.33,5.99,7.07,9.68,7.4,6.8,58,0,1.17,0,1,3,4.93,32,9.5,1
24,0,0,10,55,2,3.69,6.83,1.64,6.62,5.3,3.7,118,1,5.41,1,8,3,4.41,43,8.42,0
58,2,0,5,55,0,7.83,3.94,6.36,2.56,4.4,0.1,86,1,5.03,0,3,2,1.26,5,1.74,1
28,2,4,0,33,0,2.85,2.45,2.98,2.05,8.8,7.6,27,1,1.54,1,9,0,8.11,18,5.01,0
42,3,4,5,37,1,5.9,1.12,3.74,4.33,8.6,8.7,115,1,2.2,1,5,4,5.11,38,1.66,0
30,2,4,12,30,0,8.24,8.39,2.17,3.77,8.6,1.7,113,0,5.59,0,1,4,5.78,35,3.97,1
39,0,5,4,56,2,5.83,6.73,3.24,3.51,8.9,0.3,75,0,3.11,0,9,3,3.3,38,4.16,0
25,3,2,14,44,0,9.17,3.06,8.39,5.21,4.9,1.6,26,1,8.9,1,3,3,8.06,16,6.4,1
46,1,2,17,47,0,1.53,4.77,6.75,9.22,4.8,9.0,86,1,2.56,1,1,2,8.14,35,9.78,0
35,1,0,19,30,1,6.29,8.21,9.55,6.11,4.2,3.0,0,1,1.18,0,8,3,5.98,24,2.53,0
30,3,5,13,40,1,6.06,5.85,1.44,5.69,8.5,2.3,106,1,5.03,1,8,3,9.14,36,3.96,0
47,0,5,14,52,1,6.94,3.7,8.13,8.26,7.8,0.1,1,0,9.88,0,4,2,2.04,5,6.28,0
23,1,5,4,31,1,8.5,3.4,7.29,1.04,7.2,3.0,107,0,6.7,0,2,3,8.08,9,2.54,1
41,1,5,3,30,2,7.53,2.96,3.35,2.78,8.6,7.2,94,0,4.19,0,2,3,6.03,4,7.4,1
49,2,0,1,41,0,8.11,8.41,7.56,5.47,6.9,9.6,65,1,1.15,0,0,3,3.08,33,4.63,1
28,2,1,6,45,0,3.6,6.24,7.45,7.35,4.6,3.1,48,0,5.36,1,7,0,2.19,27,9.55,0
29,0,4,9,51,1,4.49,7.38,5.13,5.37,4.9,2.4,88,1,2.86,0,2,4,3.71,22,6.67,0
56,3,4,15,51,2,6.64,8.74,7.2,2.47,4.7,8.9,101,0,6.83,0,3,1,8.71,11,4.27,0
35,0,4,9,39,2,5.98,9.88,5.0,9.37,5.5,8.5,111,0,6.25,1,1,4,8.09,5,7.48,0
38,3,2,17,47,0,9.65,3.25,4.02,3.96,5.9,3.3,18,1,3.39,1,7,0,6.81,10,8.55,1
57,1,3,16,44,1,2.68,2.63,5.2,8.09,8.0,0.7,27,0,1.62,1,2,1,1.81,3,8.2,0
25,2,4,20,46,0,4.16,5.16,9.06,9.02,5.0,9.9,69,0,7.8,0,1,4,9.59,15,3.36,0
23,0,0,12,59,0,6.15,1.32,4.46,4.12,7.6,6.8,38,1,6.27,1,0,2,3.75,46,4.75,0
27,0,0,0,39,2,8.81,8.13,4.63,8.61,6.5,9.3,18,0,8.58,1,9,0,6.46,37,5.07,1
25,3,1,0,32,2,9.36,8.95,6.48,7.4,9.0,3.4,115,0,3.34,0,1,2,8.23,40,4.5,1
50,3,0,14,55,0,4.02,7.17,7.78,9.14,7.9,6.5,63,1,6.88,1,1,2,2.2,17,3.8,0
39,0,5,0,59,1,1.6,3.41,7.61,3.26,8.8,6.7,57,0,2.07,1,3,4,6.87,20,7.77,0
47,3,1,5,50,1,4.79,2.11,1.18,9.38,5.7,8.7,16,1,3.63,1,0,1,1.29,4,1.11,0
55,0,1,12,45,0,4.55,4.44,7.19,1.59,4.6,9.9,69,1,6.91,1,0,3,1.92,34,3.64,0
31,0,4,0,35,0,9.88,8.5,5.05,8.14,6.5,1.1,78,1,8.43,0,5,3,7.51,34,2.27,1
57,0,3,4,32,1,4.88,4.13,5.72,4.92,4.6,6.3,85,1,3.89,0,4,0,2.4,31,2.16,0
35,1,1,8,38,1,3.75,1.31,6.05,2.6,6.5,3.4,40,1,8.19,0,0,2,4.99,34,3.49,0
52,3,2,16,40,1,4.29,3.47,7.59,1.71,5.3,8.1,97,1,7.1,1,5,0,3.23,3,7.86,0
36,2,1,15,50,0,4.57,9.91,8.48,4.51,6.5,7.5,4,1,4.14,1,7,4,4.79,28,9.72,0
29,2,4,7,42,2,8.39,7.09,6.82,4.5,8.7,8.9,116,1,8.89,1,4,2,1.69,41,5.63,1
35,3,5,16,47,1,1.73,9.11,6.08,3.07,5.4,3.4,22,1,5.58,0,2,3,7.79,37,4.05,0
44,0,4,14,55,1,3.85,7.97,4.36,2.94,9.0,1.8,68,1,6.83,1,2,4,1.71,29,8.46,0
42,2,0,0,51,1,9.7,5.86,2.24,4.6,5.1,0.2,107,1,5.46,0,1,4,8.54,15,1.6,1
37,2,1,11,57,0,2.38,2.34,9.63,4.69,5.0,2.6,9,1,5.07,0,8,0,6.96,36,1.84,0
39,3,2,4,53,2,7.68,4.14,5.16,4.98,6.7,3.7,67,1,8.63,1,8,0,4.75,35,4.11,1
45,2,4,5,56,2,4.21,6.25,6.1,8.82,8.2,9.5,11,0,3.65,1,6,1,8.8,41,5.04,0
47,0,2,0,51,1,6.24,8.84,7.76,6.5,7.7,4.9,110,1,1.33,1,0,3,2.68,10,8.18,0
46,3,5,0,33,0,1.9,3.42,1.62,1.18,7.6,5.6,9,1,8.92,0,0,3,3.38,17,9.33,0
50,0,4,9,51,2,3.76,2.09,8.7,5.67,5.4,8.8,59,1,8.43,1,3,0,2.23,30,5.78,0
36,2,2,9,53,0,5.51,6.03,8.17,7.86,4.1,8.9,29,0,4.3,1,1,3,4.43,8,5.46,0
22,2,5,2,37,2,3.09,2.59,7.97,1.51,4.8,5.3,113,1,2.67,1,2,3,9.88,23,2.92,0
46,0,1,16,42,1,5.88,6.49,1.2,4.8,5.7,1.1,23,0,7.08,1,1,4,2.45,19,5.06,0
28,1,2,18,39,0,2.98,3.37,5.74,5.06,8.9,2.7,68,1,1.71,1,0,2,8.48,37,9.31,0
30,2,1,10,31,1,6.85,3.08,1.49,9.59,8.6,4.6,12,0,4.81,0,2,2,6.87,43,4.54,0
45,1,3,17,37,2,9.14,4.59,5.96,5.28,5.0,7.5,99,0,1.77,1,6,1,1.14,36,2.9,1
22,2,4,1,35,2,1.77,6.34,7.47,7.75,7.6,7.1,8,0,6.38,0,9,2,9.5,4,4.04,0
29,1,4,8,45,1,2.95,5.91,2.1,3.73,6.9,6.4,17,0,1.24,0,8,3,9.74,26,5.63,0
45,1,3,16,47,2,8.6,3.2,7.25,8.01,4.2,8.8,34,0,6.66,1,9,4,9.32,47,6.39,1
32,1,3,13,46,1,6.68,9.02,5.05,3.9,5.9,8.0,94,1,7.06,0,8,2,5.52,40,4.89,0
38,0,3,3,35,1,1.71,1.99,8.3,4.87,6.4,9.8,87,1,5.38,0,7,3,2.98,27,7.83,0
29,1,1,16,42,1,5.38,1.36,5.8,5.32,7.3,8.9,106,1,2.58,1,5,3,4.52,13,6.26,0
56,1,1,16,52,2,2.89,6.42,4.03,9.34,5.5,2.0,3,0,1.91,0,0,0,6.53,44,6.99,0
56,1,2,11,43,0,2.79,2.11,3.99,1.48,8.7,0.6,40,0,3.82,0,7,0,4.41,34,8.77,0
54,2,0,19,59,1,9.47,5.54,9.08,2.77,6.3,4.1,25,0,5.19,0,7,2,7.37,33,8.79,1
26,1,5,17,55,0,7.85,9.57,5.08,7.35,5.2,6.2,43,0,6.78,0,8,0,8.16,46,2.83,1
49,2,0,2,50,2,7.27,7.29,4.65,6.2,5.6,6.4,41,1,1.01,1,9,3,2.88,26,6.61,1
28,1,1,10,59,2,3.15,6.56,1.36,3.26,7.8,2.7,9,0,7.4,0,5,3,4.64,20,7.45,0
30,1,0,17,39,0,2.07,6.17,4.28,3.6,7.2,8.6,104,1,7.41,1,2,0,9.62,8,2.31,0
29,0,4,3,53,1,8.84,2.62,8.65,4.31,7.7,3.3,105,0,5.0,0,5,4,3.25,16,8.58,1
33,2,4,16,40,2,1.05,4.89,7.85,5.05,5.5,9.2,72,0,4.09,0,7,0,4.12,5,2.62,0
55,1,4,17,42,1,4.49,4.08,2.99,8.36,5.6,4.7,0,0,8.58,1,6,4,1.32,34,8.19,0
54,2,1,4,41,1,3.5,9.58,4.72,1.12,6.0,0.1,53,0,8.06,0,7,0,3.99,47,2.45,0
44,2,4,13,38,0,6.13,3.18,2.77,9.08,4.9,1.6,15,0,9.85,0,2,3,4.34,27,7.68,0
45,3,3,9,33,2,3.25,5.24,9.59,4.72,7.5,1.0,45,1,4.35,1,7,3,1.9,36,2.33,0
58,0,2,14,36,0,3.8,9.44,6.38,3.07,5.6,0.4,12,0,9.16,1,4,0,1.01,4,4.41,0
56,0,3,0,53,2,8.65,8.1,7.79,5.58,5.6,7.1,101,1,1.79,1,6,1,6.18,42,2.29,1
43,0,4,15,58,0,6.43,9.68,7.42,6.94,5.3,1.9,63,1,4.7,1,3,4,3.71,7,3.44,0
48,3,5,10,51,2,2.31,6.47,8.86,1.4,6.3,8.4,77,0,5.19,1,2,1,1.16,37,9.86,0
56,3,2,19,31,2,7.54,4.0,9.54,7.44,7.9,2.6,103,0,4.97,1,5,3,8.74,36,1.97,1
22,0,0,5,36,2,2.87,8.44,1.29,7.85,8.2,0.3,86,0,6.63,1,8,4,6.26,24,4.66,0
56,3,3,15,58,1,4.9,3.62,9.78,2.5,8.0,8.2,54,0,2.53,1,3,0,2.54,15,7.09,0
58,3,2,1,38,1,6.82,2.48,8.83,2.51,7.1,4.7,62,0,8.8,0,8,4,8.79,49,1.85,0
35,3,0,0,34,0,3.45,7.36,4.45,2.83,5.4,6.0,17,0,5.97,1,2,4,3.28,6,1.98,0
24,0,3,8,44,0,4.46,6.75,8.53,8.17,7.7,3.4,60,1,9.14,0,5,2,3.05,26,2.29,0
22,0,1,11,47,2,7.61,8.91,7.63,3.45,4.2,0.5,91,1,1.02,0,4,4,9.05,26,6.8,1
26,0,3,16,33,2,9.44,9.66,8.14,8.16,8.0,3.7,19,0,6.67,0,8,3,2.62,25,9.18,1
47,3,0,14,48,1,5.76,8.71,2.99,5.86,7.9,5.2,64,0,4.71,1,5,1,8.91,33,8.43,0
35,0,1,18,49,1,1.09,1.54,6.84,7.9,7.4,0.1,63,1,5.55,1,1,1,8.23,3,9.85,0
48,3,5,9,55,1,4.05,6.98,1.23,5.98,4.5,5.7,75,1,7.69,0,3,0,3.79,9,6.2,0
30,1,5,11,36,0,4.59,8.06,8.63,4.02,9.0,8.9,90,1,3.04,1,4,2,1.31,37,9.65,0
36,3,3,13,55,1,4.05,9.84,9.56,9.2,7.8,2.2,63,0,2.84,1,8,1,1.74,38,3.74,0
36,2,3,8,37,0,4.93,4.37,6.96,7.44,7.7,9.3,106,1,7.33,1,0,1,1.99,30,4.79,0
47,0,3,12,46,1,6.69,2.53,5.61,5.36,4.3,1.0,12,0,5.69,1,8,4,9.02,27,4.56,0
34,0,5,2,42,1,2.09,8.68,7.53,6.74,6.0,8.3,118,0,3.1,0,9,3,4.64,13,1.43,0
53,2,4,20,53,2,3.45,3.86,3.94,6.54,4.4,8.4,67,1,5.36,1,0,3,1.29,23,8.47,0
53,3,0,13,50,0,5.57,6.38,6.64,4.22,5.8,2.6,88,1,5.14,0,0,0,6.01,3,1.22,0
25,1,2,20,57,1,3.84,4.51,7.47,4.81,6.9,9.6,69,1,7.22,1,3,3,2.87,23,7.57,0
51,2,0,9,52,2,9.92,4.62,2.28,3.86,8.4,4.2,117,0,1.02,0,5,1,3.12,35,4.66,1
58,2,4,15,40,0,4.88,7.59,2.26,10.0,5.4,1.4,56,0,6.28,0,1,4,2.45,24,1.06,0
44,3,3,6,56,0,8.83,4.25,7.45,6.22,7.1,5.9,44,1,6.45,1,0,3,7.86,37,3.61,1
36,0,4,3,30,1,9.07,7.24,4.89,1.83,4.8,10.0,119,0,7.71,1,3,2,1.01,12,4.12,1
50,3,2,19,31,0,8.52,1.13,9.0,5.67,5.8,9.0,85,1,9.0,0,7,2,4.95,20,9.68,1
57,2,3,10,46,2,1.42,3.92,3.81,1.45,8.7,2.8,108,0,4.96,0,5,2,1.78,18,6.95,0
34,2,4,15,34,2,9.53,3.87,1.38,3.6,7.7,5.8,37,1,4.08,1,4,3,5.97,7,5.89,1
53,0,3,19,59,0,2.16,7.74,6.85,5.01,6.7,1.2,53,0,1.92,1,0,4,4.11,26,2.14,0
28,0,3,3,59,2,1.31,3.83,7.16,5.81,5.3,4.6,35,1,4.03,1,2,3,1.26,12,4.52,0
43,0,3,16,35,0,4.73,6.7,5.98,9.79,5.9,5.2,116,0,1.62,1,6,1,5.15,34,1.32,0
49,3,3,12,55,2,2.75,7.2,7.15,9.84,4.8,3.2,66,0,8.23,0,9,3,6.14,48,7.86,0
23,0,2,10,54,0,2.66,6.93,5.71,1.88,5.8,4.8,78,0,8.26,1,2,2,3.23,32,2.46,0
27,2,0,2,53,0,3.59,6.43,7.23,5.84,4.8,9.2,10,1,4.76,1,4,2,7.89,30,6.35,0
49,2,1,8,36,0,3.24,4.72,1.4,8.35,8.0,5.0,97,0,3.34,1,5,4,4.34,2,7.29,0
49,1,3,5,57,2,7.16,4.36,4.32,3.14,4.4,8.3,26,0,2.06,0,8,0,7.74,8,4.3,1
41,3,0,20,50,0,2.68,6.08,2.9,7.76,4.9,3.2,86,1,8.66,1,2,2,6.21,33,6.69,0
51,1,5,10,59,0,5.89,1.57,1.89,8.91,7.5,9.7,16,1,8.9,0,5,2,8.82,46,7.88,0
32,2,5,15,44,1,9.88,8.88,3.11,6.96,8.5,0.9,86,0,3.4,1,1,0,5.92,42,2.66,1
49,1,2,18,48,1,4.89,8.43,2.72,3.95,8.8,5.9,97,0,6.6,0,8,3,2.67,30,6.41,0
46,2,0,4,45,0,6.78,4.12,9.76,9.31,8.2,7.9,84,1,3.33,0,8,2,8.4,45,7.6,0
54,1,4,13,54,1,9.72,6.1,3.58,8.95,5.1,8.1,32,0,3.03,1,6,4,8.05,42,4.21,1
22,0,1,16,42,0,2.24,9.39,3.08,7.44,5.4,2.0,4,0,1.19,0,8,3,9.75,45,2.46,0
48,1,2,2,34,1,4.77,3.44,8.51,4.27,8.4,4.0,115,1,6.19,0,3,3,1.84,28,3.58,0
34,0,4,3,32,2,8.65,7.68,4.77,8.13,8.4,6.2,80,1,2.35,1,9,2,6.32,13,9.4,1
24,0,3,15,32,2,9.39,1.74,4.79,3.84,7.2,3.2,61,1,1.11,0,0,3,5.43,24,4.22,1
27,3,5,15,48,0,6.41,5.71,4.99,3.28,5.6,6.6,64,0,1.94,1,0,3,7.04,33,1.97,0
29,0,5,20,43,0,2.29,8.96,4.75,5.64,5.1,3.8,70,0,3.82,1,1,4,9.82,5,1.74,0
48,0,4,3,45,2,9.11,5.97,3.94,9.97,8.3,3.5,66,1,7.02,1,9,3,5.79,48,2.62,1
30,1,4,18,51,2,2.57,6.55,3.58,8.24,5.0,1.1,89,1,2.82,0,2,2,7.17,6,2.15,0
58,2,4,16,46,1,4.18,9.17,8.94,7.57,7.3,0.4,79,0,8.99,0,1,2,4.12,4,5.46,0
54,3,0,12,56,0,4.38,7.44,2.46,5.07,8.8,8.4,79,1,3.6,0,3,0,3.69,42,4.13,0
45,0,1,0,33,2,5.03,7.26,2.63,3.81,7.5,4.9,43,0,3.98,0,7,1,4.02,43,8.57,0
36,3,1,11,42,2,8.11,6.28,6.15,8.7,5.3,5.6,104,1,2.96,1,2,0,1.35,34,8.93,1
53,1,3,3,37,0,8.22,6.7,4.09,6.11,5.4,3.7,13,1,3.28,0,3,4,3.56,29,5.26,1
53,0,1,10,48,1,7.48,8.23,4.79,8.32,4.5,1.4,107,0,1.67,1,1,4,2.56,21,9.0,1
45,1,1,4,34,1,1.2,9.81,8.26,5.39,7.4,4.5,89,0,3.65,0,0,2,5.12,26,5.05,0
33,3,4,1,31,1,6.08,8.16,9.13,7.79,6.6,2.3,90,1,8.74,0,7,1,5.15,32,6.78,0
23,1,3,16,44,1,7.73,7.37,8.11,8.81,5.0,8.4,56,0,7.2,0,6,0,7.89,22,2.46,1
24,3,4,7,31,2,5.0,2.22,3.11,4.52,5.1,9.9,47,0,8.88,1,9,1,5.52,41,1.47,0
58,1,4,5,40,0,9.5,8.35,9.82,1.12,4.0,8.9,16,1,1.94,1,1,2,5.17,14,2.44,1
38,3,3,20,42,0,8.41,7.62,4.27,3.29,8.9,5.3,43,0,5.1,1,7,3,3.08,34,3.27,1
23,2,0,8,52,2,6.74,7.93,2.52,9.23,8.1,6.3,3,0,3.06,1,9,2,8.67,37,7.76,0
23,1,5,12,39,2,1.56,3.08,5.5,7.19,6.0,9.5,80,0,7.49,0,2,2,1.82,44,2.56,0
49,1,3,10,32,2,6.87,9.13,7.53,7.63,8.7,5.4,96,0,9.73,0,6,1,9.84,1,2.18,0
44,2,0,15,34,0,9.2,1.88,1.75,3.93,7.4,6.4,29,1,8.34,0,0,4,5.28,32,9.35,1
58,2,0,15,32,0,4.42,3.28,6.71,7.31,7.8,6.3,84,1,1.32,0,2,3,2.67,32,7.2,0
53,1,3,1,35,0,8.54,6.97,8.72,6.82,7.4,7.1,80,1,3.85,1,8,3,4.19,24,5.26,1
54,2,3,9,42,1,3.82,7.06,3.36,2.61,7.8,6.4,74,1,1.26,1,3,4,1.14,44,1.85,0
22,0,3,11,39,2,6.13,3.82,7.24,9.72,4.9,6.7,114,1,1.36,1,0,1,2.5,21,8.67,0
40,3,2,7,48,2,6.84,7.31,4.6,4.19,6.8,7.3,54,0,1.72,0,5,1,4.02,12,1.97,0
23,3,4,10,37,2,7.1,4.49,4.73,3.96,8.2,8.1,29,0,3.49,0,0,4,5.99,20,6.5,1
47,3,3,9,47,0,8.94,1.0,3.53,4.32,4.1,4.0,17,0,3.74,0,9,0,2.17,37,7.01,1
53,0,4,12,32,2,3.11,2.46,6.62,1.83,4.6,7.5,83,1,4.6,0,0,1,7.08,20,4.6,0
27,2,2,16,53,2,3.36,8.94,4.25,6.62,5.2,1.0,97,1,4.64,0,1,4,8.6,2,9.2,0
53,2,2,6,53,1,7.34,3.0,8.48,3.15,5.5,8.8,104,1,7.94,0,2,0,6.15,14,1.46,1
25,1,3,2,46,0,2.59,2.02,9.67,8.23,4.9,2.9,91,0,2.27,0,1,2,3.67,17,8.36,0
32,2,1,19,37,2,5.18,7.14,9.42,4.55,7.1,4.0,72,0,2.42,1,7,3,2.09,24,5.98,0
38,1,3,12,39,0,1.18,4.97,2.47,5.13,5.5,8.0,43,0,6.64,1,5,4,1.14,30,6.5,0
59,0,5,18,31,0,2.27,8.17,1.13,6.82,4.8,6.4,61,1,6.15,0,0,1,7.59,15,9.88,0
45,3,4,6,41,0,7.11,8.75,4.95,7.86,8.5,3.1,30,1,2.39,0,5,3,6.66,49,6.24,1
26,3,0,8,52,1,7.73,8.61,7.56,3.08,7.5,2.3,108,0,8.67,0,0,0,5.29,34,8.17,1
55,3,0,18,35,0,2.04,3.82,9.8,9.7,5.2,9.6,15,0,3.96,0,8,3,1.92,8,2.38,0
27,2,2,12,31,0,3.05,5.55,8.05,6.6,5.8,0.9,94,0,4.3,1,2,4,2.86,42,8.28,0
43,1,0,7,50,0,1.89,6.85,6.22,1.05,7.7,0.0,92,1,4.78,1,0,2,8.34,3,7.85,0
32,1,0,17,52,2,4.9,3.9,1.24,4.74,8.0,6.7,76,1,3.9,0,0,0,5.32,11,9.71,0
37,0,5,1,53,1,2.14,1.37,8.43,4.93,4.9,6.1,22,0,6.02,1,1,0,9.67,27,9.42,0
54,2,3,17,32,2,4.94,5.46,2.59,8.28,8.7,7.4,13,0,4.5,1,5,0,10.0,9,2.93,0
30,0,1,17,46,1,7.59,1.12,1.5,3.75,7.9,7.3,102,1,3.33,0,0,3,8.21,15,5.18,1
27,1,4,10,58,1,7.15,9.56,8.65,3.98,8.3,8.6,1,0,9.14,1,6,2,3.32,32,9.2,1
37,1,5,0,36,0,3.52,8.17,6.1,1.63,4.7,9.2,11,0,3.78,0,3,4,3.08,11,6.77,0
50,3,4,13,58,0,7.06,2.73,2.16,3.55,4.7,7.8,57,1,7.29,0,6,4,3.28,3,5.17,1
24,2,1,15,50,2,9.35,3.59,4.48,7.45,5.5,2.3,91,0,4.13,0,3,3,9.88,26,1.98,1
41,1,5,10,34,1,4.13,9.85,1.77,6.71,4.3,4.6,95,0,4.92,0,3,4,4.02,7,4.17,0
57,3,4,0,52,0,3.96,4.36,6.74,1.73,4.5,6.4,55,0,3.12,1,3,4,7.36,28,6.99,0
40,2,0,6,30,0,6.14,8.05,3.54,2.03,4.7,5.4,112,1,7.77,0,9,2,9.63,39,7.99,0
47,0,0,15,37,0,3.21,5.02,8.79,4.39,7.6,1.6,23,0,7.63,0,9,3,8.38,4,5.02,0
24,2,4,13,41,0,6.86,8.78,4.22,7.69,4.2,5.9,36,0,1.2,1,7,3,6.38,30,1.5,0
40,2,4,14,43,2,8.49,7.33,5.45,8.5,4.4,8.9,28,1,1.54,0,1,0,2.52,38,6.7,1
41,1,1,13,45,2,5.13,1.21,1.57,1.13,8.7,4.2,115,0,9.3,1,7,4,2.57,14,9.29,0
53,1,2,20,39,0,7.12,3.65,3.48,3.96,4.4,6.7,41,0,9.0,1,9,1,5.43,36,5.47,1
28,2,2,10,44,0,6.87,6.02,7.09,4.82,6.7,6.2,17,1,5.55,0,0,2,9.57,31,9.36,0
54,1,4,15,50,0,1.35,9.34,7.63,9.2,7.2,3.8,2,0,5.44,0,6,2,9.14,19,4.19,0
39,1,5,18,53,0,2.65,1.92,3.19,5.51,8.8,5.7,76,0,8.31,1,6,1,2.5,49,8.98,0
22,1,0,16,55,0,9.04,6.41,5.53,3.43,8.5,2.1,12,0,2.25,1,5,0,3.59,12,8.08,1
32,3,3,5,44,1,9.45,3.72,8.36,4.51,6.2,5.5,105,1,6.88,0,3,1,6.3,49,9.66,1
49,3,1,10,39,1,8.02,9.0,4.42,4.93,8.7,8.0,28,0,5.28,0,4,1,5.3,15,8.12,1
46,2,1,16,50,1,9.29,7.89,2.2,7.03,6.2,7.6,65,1,7.69,0,0,0,2.07,9,3.89,1
44,1,3,8,57,1,3.76,4.33,4.89,1.37,7.3,3.6,58,1,1.27,0,1,1,4.32,27,9.11,0
52,3,4,17,36,0,3.23,2.5,6.41,4.51,5.3,1.1,91,1,6.33,0,9,0,9.59,20,7.03,0
51,2,1,16,55,1,4.46,1.1,1.07,6.82,7.2,8.0,47,1,6.01,0,6,4,9.56,28,2.46,0
56,1,1,11,32,1,1.5,6.59,4.14,3.55,6.7,2.7,3,1,8.57,0,1,0,6.03,25,1.41,0
28,0,5,4,31,2,8.29,4.66,6.47,6.33,7.0,0.5,50,1,7.09,0,7,3,6.72,16,4.29,1
37,1,4,10,35,1,9.86,3.83,9.57,4.22,7.4,4.5,4,1,8.92,1,6,3,3.0,18,8.08,1
47,1,4,3,50,1,8.42,9.87,4.68,7.83,4.9,7.4,38,0,8.99,1,9,1,7.68,36,6.56,1
23,3,5,3,38,0,5.99,5.2,2.47,1.55,5.5,8.1,40,0,4.67,1,7,3,1.47,4,5.74,0
22,2,5,2,39,1,3.66,7.75,5.81,9.26,7.7,9.8,4,1,2.24,1,3,0,2.99,21,1.03,0
33,2,4,16,33,1,2.78,2.6,3.57,2.54,4.8,1.9,7,0,6.67,0,0,4,1.05,27,4.92,0
26,3,1,6,56,0,4.28,1.12,2.93,2.43,5.7,2.9,97,0,8.86,0,6,0,4.47,1,2.42,0
58,1,4,3,32,1,7.0,4.76,6.31,8.57,7.3,6.1,117,0,1.67,0,0,2,8.65,5,5.09,0
53,0,2,12,38,0,5.02,6.99,9.24,8.82,8.7,8.1,55,1,6.02,1,6,1,9.84,44,9.93,0
30,1,1,11,53,1,9.41,5.56,8.52,1.84,4.4,2.3,24,0,2.03,1,8,4,7.01,46,8.92,1
